id,name,state,created_at,updated_at,Route.Stop,Route.Latitude,Route.Longitude
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,4,34.40315,-87.376633
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,5,34.394817,-87.36705
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,6,34.382367,-87.3636
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,7,34.367867,-87.366183
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,8,34.3558,-87.368933
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,9,34.344083,-87.3818
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,10,34.332267,-87.377117
20058,MENTONE,AL,6/13/12 13:53,6/13/12 13:53,1,34.580485,-85.565558
20059,CARROLLTON,AL,6/13/12 13:53,6/13/12 13:53,1,33.280781,-88.012448
20060,HOLT,AL,6/13/12 13:53,7/2/12 16:28,1,33.263816,-87.424001
20061,ODENVILLE,AL,6/13/12 13:53,5/31/19 13:46,1,33.719963,-86.449958
20062,BORDEN SPRNG,AL,6/13/12 13:52,6/13/12 13:52,1,33.928295,-85.468063
20063,ROCK CHAPEL,AL,6/13/12 13:53,6/13/12 13:53,1,32.41281,-87.538107
20064,NIXBURG,AL,6/13/12 13:53,6/13/12 13:53,1,32.822414,-86.1118
20065,CALEBEE,AL,6/13/12 13:52,6/13/12 13:52,1,32.434615,-85.871207
20066,APPLETON,AL,6/13/12 13:52,6/13/12 13:52,1,31.228302,-87.065032
20067,MT GILEAD,AL,6/13/12 13:53,6/13/12 13:53,1,31.408887,-86.261154
20068,MADRID,AL,6/13/12 13:53,6/13/12 13:53,1,31.031942,-85.411384
20069,GEORGETOWN,AL,6/13/12 13:53,6/13/12 13:53,1,30.942277,-88.352353
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,1,30.23826,-87.8722
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,2,30.23965,-87.85405
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,3,30.24537,-87.83767
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,4,30.24211,-87.8212
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,5,30.25169,-87.80692
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,6,30.24454,-87.78758
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,7,30.2479,-87.77116
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,8,30.25188,-87.7555
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,9,30.26646,-87.7546
20070,BON SECOUR NWR,AL,5/9/12 18:01,5/9/12 18:01,10,30.28106,-87.75115
20071,WHEELER DAM,AL,6/13/12 13:53,6/13/12 13:53,1,34.795276,-87.384047
20072,ELKMONT,AL,6/13/12 13:53,6/13/12 13:53,1,34.92923,-86.988761
20073,WOODVILLE,AL,6/13/12 13:53,11/27/21 18:24,1,34.989513,-86.067168
20102,COURTLAND,AL,6/13/12 13:53,6/13/12 13:53,1,34.60316,-87.254295
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,1,34.212778,-86.473333
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,2,34.198611,-86.472778
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,3,34.189722,-86.485
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,4,34.159722,-86.485556
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,5,34.163333,-86.476111
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,6,34.136111,-86.473056
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,7,34.1225,-86.481111
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,8,34.107778,-86.487778
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,9,34.012222,-86.488333
20105,BROOKSVILLE,AL,5/9/12 18:02,4/19/19 18:29,10,34.098889,-86.4975
20109,LAKEVIEW,AL,6/13/12 13:53,6/13/12 13:53,1,34.308398,-85.932518
20111,CHOCCOLOCCO,AL,6/13/12 13:53,6/13/12 13:53,1,33.629635,-85.746657
20140,ALABAMA PORT,AL,5/9/12 18:01,7/9/12 22:12,1,30.25736,-88.112569
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,1,30.255556,-87.671667
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,2,30.381667,-87.598333
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,3,30.396389,-87.598333
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,4,30.410556,-87.598056
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,5,30.425833,-87.598333
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,6,30.443056,-87.598333
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,7,30.459167,-87.598333
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,8,30.472778,-87.598333
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,9,30.472778,-87.579167
20142,ELBERTA,AL,5/9/12 18:01,4/19/19 18:28,10,30.474444,-87.564167
20156,KYMULGA,AL,6/13/12 13:53,6/13/12 13:53,1,33.29053,-86.331298
20201,VINA,AL,6/13/12 13:53,6/13/12 13:53,1,34.288406,-88.067555
20203,CARTER GROVE,AL,5/9/12 18:01,4/25/19 16:50,1,34.962273,-86.695121
20204,STEVENSON,AL,6/13/12 13:53,6/13/12 13:53,1,34.757555,-85.859457
20205,VERNON,AL,6/13/12 13:53,6/13/12 13:53,1,33.698344,-88.186758
20206,JASPER,AL,6/13/12 13:53,6/13/12 13:53,1,33.816874,-87.137824
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,1,33.855278,-86.382222
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,2,33.861667,-86.381944
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,3,33.872778,-86.393056
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,4,33.893333,-86.408889
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,5,33.866944,-86.420556
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,6,33.871667,-86.424722
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,7,33.869722,-86.441111
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,8,33.898333,-86.447778
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,9,33.002778,-86.455278
20207,ONEONTA,AL,5/9/12 18:02,4/19/19 18:29,10,33.896667,-86.463333
20208,TALLADEGA,AL,6/13/12 13:53,6/13/12 13:53,1,33.31779,-86.156914
20209,WEDOWEE,AL,6/13/12 13:53,6/13/12 13:53,1,33.183456,-85.487137
20210,GASTONBURG,AL,6/13/12 13:53,6/13/12 13:53,1,32.208758,-87.436668
20211,AUTAUGAVILLE,AL,6/13/12 13:52,1/24/21 3:21,1,32.491267,-86.572478
20212,SEALE,AL,6/13/12 13:53,5/19/14 20:02,1,32.503334,-85.253218
20213,CITRONELLE,AL,6/13/12 13:53,6/13/12 13:53,1,31.161634,-88.204557
20214,CLAIBORNE,AL,6/13/12 13:53,6/13/12 13:53,1,31.74596,-87.636174
20215,HELICON,AL,6/13/12 13:53,6/13/12 13:53,1,31.905264,-86.18534
20216,EUFAULA,AL,6/13/12 13:53,6/13/12 13:53,1,31.72984,-85.256301
20217,ST ELMO,AL,6/13/12 13:53,6/13/12 13:53,1,30.486525,-88.385679
20218,BAY MINETTE,AL,6/13/12 13:52,4/19/19 18:30,1,30.803937,-87.637092
20306,DRUMMOND,AL,6/13/12 13:53,6/27/19 23:09,1,33.816897,-87.137832
20750,TRIANA,AL,6/13/12 13:53,6/13/12 13:53,1,34.554835,-86.754807
20751,RIVERSIDE,AL,6/13/12 13:53,6/13/12 13:53,1,33.591494,-86.186888
20752,SPROTT-CAHABA RIV,AL,6/13/12 13:53,6/13/12 13:53,1,32.668364,-87.242201
20753,GAINESTOWN FERRY,AL,6/13/12 13:53,6/13/12 13:53,1,31.378515,-87.722013
20991,FMARNGTC,AL,5/9/12 18:02,4/25/19 17:56,,,
20992,FMARNGTC,AL,5/9/12 18:02,4/25/19 17:56,,,
25073,Arbuckle,FL,5/9/12 18:03,5/9/12 18:03,,,
25076,Shawano,FL,5/9/12 18:03,5/9/12 18:03,,,
25308,Doctor's Inlet,FL,5/9/12 18:03,4/30/19 16:10,,,
25912,Holley Land,FL,5/9/12 18:03,5/9/12 18:03,,,
29250,BON SECOUR NWR,AL,6/13/12 13:52,6/13/12 13:52,1,30.303359,-87.735318
29274,ELBERTA,AL,6/13/12 13:53,3/16/21 18:03,1,30.370387,-87.602606
29309,MCCLELLAN,AL,6/13/12 13:53,6/13/12 13:53,1,30.99753,-86.88571
29310,MCCLELLAN,AL,6/13/12 13:53,6/13/12 13:53,1,30.99753,-86.88571
29311,MCCLELLAN,AL,6/13/12 13:53,6/13/12 13:53,1,30.99753,-86.88571
29447,MCCLELLAN,AL,5/9/12 18:02,5/9/12 18:02,1,30.99753,-86.88571
29448,MCCLELLAN 2,AL,5/9/12 18:02,5/9/12 18:02,,,
29449,MCCLELLAN 2,AL,2/11/13 20:49,4/25/16 21:11,,,
29450,MCCLELLAN 1,AL,2/11/13 21:06,2/11/13 21:11,,,
29451,Beach,AL,4/25/13 3:57,5/30/19 21:15,,,
29452,Limestone7243,AL,5/1/13 20:55,5/31/19 13:25,,,
29453,Morgan7243,AL,5/1/13 21:00,5/31/19 13:25,,,
29454,Trussville - Carrington,AL,4/6/15 3:35,5/31/19 14:01,,,
29455,Trussville - Carrington,AL,4/6/15 3:38,5/31/19 14:01,,,
29456,Blue,AL,5/22/18 21:18,5/22/18 21:18,,,
29457,2018 route,AL,6/5/18 17:14,6/5/18 17:14,,,
29458,Co Rd 42 Route,AL,5/4/19 3:03,1/24/21 3:50,,,
29459,impactarea19,AL,5/29/19 12:41,5/29/19 12:41,,,
29460,northside19,AL,5/29/19 13:24,6/6/19 18:11,,,
29461,calhoun4611-1,AL,5/29/19 13:33,6/6/19 18:11,,,
29462,calhoun4611-1,AL,5/29/19 13:36,5/29/19 13:36,,,
29463,Autauga WMA,AL,1/24/21 3:26,1/24/21 3:51,,,
29464,Autauga WMA,AL,1/24/21 3:56,1/24/21 3:56,,,
29465,Gulf State Park,AL,5/26/21 17:42,5/26/21 17:42,,,
29466,Gurley,AL,4/22/22 3:57,4/22/22 3:57,,,
33015,Dubois,ID,5/9/12 18:03,5/9/12 18:03,,,
33016,Squirrel,ID,5/9/12 18:03,4/25/19 16:52,,,
33022,Ririe,ID,5/9/12 18:03,5/9/12 18:03,,,
33901,Twin Buttes,ID,5/9/12 18:03,5/9/12 18:03,,,
35005,Kewanna,IN,5/9/12 18:03,5/9/12 18:03,,,
35037,Clear Spring,IN,5/9/12 18:03,4/25/19 17:31,,,
36003,Melrose,ID,5/9/12 18:03,5/9/12 18:03,,,
39021,King's Mountain,KY,5/9/12 18:03,5/9/12 18:03,,,
39022,Rrie,KY,5/9/12 18:03,5/9/12 18:03,,,
39024,Hodgenville,KY,5/9/12 18:03,5/9/12 18:03,,,
39027,Radcliff,KY,5/9/12 18:03,5/9/12 18:03,,,
52009,Ironton,MO,5/9/12 18:03,5/9/12 18:03,,,
52109,Graniteville,MO,5/9/12 18:03,5/9/12 18:03,,,
53011,Oswego,MT,5/9/12 18:03,5/9/12 18:03,,,
53020,Roy,MT,5/9/12 18:03,8/15/12 21:49,,,
53038,Willow Creek,MT,5/9/12 18:03,4/25/19 17:56,,,
60001,MT TRUMBULL,AZ,6/13/12 13:53,6/13/12 13:53,1,36.411815,-113.325316
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,1,36.7332,-112.04659
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,2,36.74885,-112.04948
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,3,36.76318,-112.05389
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,4,36.77745,-112.059
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,5,36.78983,-112.0679
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,6,36.80513,-112.07018
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,7,36.81986,-112.0721
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,8,36.83348,-112.06775
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,9,36.84734,-112.06339
60002,HOUSE ROCK,AZ,5/9/12 18:00,12/13/22 18:44,10,36.86212,-112.06307
60003,THE GAP,AZ,6/13/12 13:53,2/15/19 1:24,1,36.162353,-111.386581
60004,BLACK MESA,AZ,6/13/12 13:53,6/13/12 13:53,1,36.561286,-110.501945
60005,ROUND ROCK,AZ,6/13/12 13:53,6/13/12 13:53,1,36.508926,-109.472685
60006,SQUAQ PEAK,AZ,6/13/12 13:53,6/13/12 13:53,1,35.898677,-114.290908
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,1,35.514722,-113.202222
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,2,35.499444,-113.200556
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,3,35.493333,-113.205
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,4,35.480278,-113.205556
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,5,35.450833,-113.215
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,6,35.455278,-113.226111
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,7,35.444722,-113.235833
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,8,35.416667,-113.247222
60007,YAMPAI,AZ,5/9/12 18:00,5/14/14 23:32,9,35.416667,-113.258333
60008,ROSE WELLS,AZ,6/13/12 13:53,6/13/12 13:53,1,35.754906,-112.872191
60009,FLAGSTAFF,AZ,6/13/12 13:53,4/17/19 18:13,1,35.395061,-111.57778
60010,ORAIBI,AZ,6/13/12 13:53,10/29/21 17:31,1,35.868719,-110.623039
60011,SAWMILL,AZ,6/13/12 13:53,6/13/12 13:53,1,35.678715,-109.204902
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,1,34.59219,-114.28721
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,2,34.59449,-114.27743
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,3,34.59609,-114.26716
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,4,34.598,-114.25694
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,5,34.59982,-114.24632
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,6,34.59737,-114.24807
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,7,34.59134,-114.25492
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,8,34.58415,-114.25037
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,9,34.57702,-114.24527
60012,OATMAN,AZ,5/9/12 18:00,5/31/19 13:38,10,34.56946,-114.24836
60013,WIKIEUP,AZ,5/9/12 18:01,4/25/19 16:37,1,34.727074,-113.918822
60014,PRESCOTT,AZ,5/9/12 18:02,3/29/21 18:34,1,34.643708,-112.432738
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,1,34.8453,-111.43334
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,2,34.85951,-111.43277
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,3,34.86619,-111.42126
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,4,34.87999,-111.42143
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,5,34.8927,-111.42323
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,6,34.90562,-111.42974
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,7,34.91911,-111.43226
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,8,34.91773,-111.42572
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,9,34.92315,-111.41197
60015,MORMON LAKE,AZ,5/9/12 18:02,4/25/19 17:22,10,34.92986,-111.39645
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,1,34.665486,-110.375103
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,2,34.66334,-110.3636
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,3,34.661746,-110.346866
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,4,34.651715,-110.345137
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,5,34.64613,-110.349717
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,6,34.62632,-110.365775
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,7,34.604567,-110.384473
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,8,34.58704,-110.399596
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,9,34.594532,-110.407688
60016,ZENIFF,AZ,5/9/12 18:00,4/19/19 18:31,10,34.602596,-110.418333
60017,HUNT,AZ,6/13/12 13:53,6/13/12 13:53,1,34.475082,-109.603149
60018,QUARTZSITE,AZ,6/13/12 13:53,6/13/12 13:53,1,33.656203,-114.216964
60019,VICKSBURG,AZ,6/13/12 13:53,6/13/12 13:53,1,33.883929,-113.853011
60020,NEW RIVER,AZ,5/9/12 18:02,7/7/20 15:17,1,33.710521,-112.272353
60021,FLORENCE,AZ,6/13/12 13:53,6/13/12 13:53,1,33.021979,-111.216918
60022,AZTEC PEAK,AZ,6/13/12 13:53,6/13/12 13:53,,,
60023,BLUE,AZ,5/9/12 18:01,4/25/19 16:30,1,33.610052,-109.106742
60024,LAGUNA,AZ,5/9/12 18:00,8/27/22 20:33,1,32.8412,-114.433989
60025,DATELAND,AZ,6/13/12 13:53,3/23/23 20:38,1,32.928561,-113.541335
60026,AJO,AZ,5/9/12 18:01,4/27/16 20:23,1,32.332571,-112.787475
60027,COOLIDGE,AZ,6/13/12 13:53,6/13/12 13:53,1,33.015628,-111.383918
60028,POMERENE,AZ,5/9/12 18:01,4/25/19 17:16,1,32.034278,-110.302417
60028,POMERENE,AZ,5/9/12 18:01,4/25/19 17:16,2,32.044361,-110.290861
60028,POMERENE,AZ,5/9/12 18:01,4/25/19 17:16,3,32.055889,-110.281889
60028,POMERENE,AZ,5/9/12 18:01,4/25/19 17:16,4,32.069944,-110.285028
60028,POMERENE,AZ,5/9/12 18:01,4/25/19 17:16,5,32.081861,-110.293306
60028,POMERENE,AZ,5/9/12 18:01,4/25/19 17:16,6,32.093861,-110.298139
