"SITE","DATE","STOP.#","X","Y","EWPW.(#)","OBSERVER","NOTES","start_hour","end_hour","start_year"
"CCNS - Marconi Station - Wellfleet","06/15/2013","7",-70.0072161111111,41.9489508333333,0,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","8",-70.0205513888889,41.9654458333333,NA,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","9",-70.0261758333333,41.9725594444444,0,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Provincelands","06/15/2013","1",-70.1923163888889,42.0685075,0,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","10",-70.0974897222222,42.0448230555556,NA,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","2",-70.2102441666667,42.0739911111111,0,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","3",-70.2189727777778,42.0564880555556,0,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","4",-70.2209283333333,42.0446691666667,0,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","5",-70.1968352777778,42.0471175,0,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","6",-70.1710005555556,42.0609013888889,NA,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","7",-70.1428513888889,42.0618511111111,NA,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","8",-70.1250886111111,42.0491583333333,NA,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"CCNS - Provincelands","06/15/2013","9",-70.1105791666667,42.0549033333333,NA,"Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"Douglas State Forest","05/28/2013","1",-71.7993819444444,42.0158027777778,1,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","10",-71.8048094444444,42.0572711111111,NA,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","2",-71.7875572222222,42.0345708333333,2,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","3",-71.7835505555555,42.0483361111111,4,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","4",-71.7683352777778,42.0584455555556,0,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","5",-71.7948527777778,42.0726769444444,0,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","6",-71.8259375,42.0962041666667,0,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","7",-71.8414266666667,42.0829452777778,0,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","8",-71.8499333333333,42.0699225,0,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Douglas State Forest","05/28/2013","9",-71.8283586111111,42.0581808333333,0,"Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Freetown State Forest","06/21/2013","1",-71.0886363888889,41.7218913888889,0,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","10",-71.0642922222222,41.7168605555556,0,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","2",-71.0863413888889,41.7368533333333,0,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","3",-71.0708941666667,41.7454044444444,0,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","4",-71.0700852777778,41.7616441666667,1,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","5",-71.0879988888889,41.7587911111111,1,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","6",-71.0547622222222,41.7511808333333,2,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","7",-71.0470644444444,41.7372280555556,3,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","8",-71.0401897222222,41.7204333333333,0,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Freetown State Forest","06/21/2013","9",-71.0496611111111,41.7090936111111,1,"Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Manuel Correlus State Forest","05/26/2013","1",-70.6504691666667,41.4043122222222,0,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","10",-70.6351761111111,41.35807,1,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","2",-70.6470613888889,41.3914372222222,1,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","3",-70.6308033333333,41.4019191666667,0,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","4",-70.6192688888889,41.3868447222222,1,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","5",-70.6096097222222,41.4019758333333,1,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","6",-70.5884827777778,41.3904216666667,3,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","7",-70.586195,41.4044113888889,2,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","8",-70.5716002777778,41.3953783333333,2,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Manuel Correlus State Forest","05/26/2013","9",-70.6306147222222,41.3716511111111,1,"Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"Mashpee/Falmouth","06/01/2013","1",-70.5600602777778,41.6378766666667,3,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","1",-70.5600602777778,41.6378766666667,3,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","1",-70.5600602777778,41.6378766666667,3,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","1",-70.5600602777778,41.6378766666667,3,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","10",-70.5025877777778,41.5582963888889,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","10",-70.5025877777778,41.5582963888889,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","10",-70.5025877777778,41.5582963888889,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","10",-70.5025877777778,41.5582963888889,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","2",-70.5542877777778,41.6178180555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","2",-70.5542877777778,41.6178180555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","2",-70.5542877777778,41.6178180555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","2",-70.5542877777778,41.6178180555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","3",-70.5351686111111,41.6132105555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","3",-70.5351686111111,41.6132105555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","3",-70.5351686111111,41.6132105555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","3",-70.5351686111111,41.6132105555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","4",-70.5133444444444,41.6103761111111,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","4",-70.5133444444444,41.6103761111111,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","4",-70.5133444444444,41.6103761111111,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","4",-70.5133444444444,41.6103761111111,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","5",-70.4850911111111,41.6216680555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","5",-70.4850911111111,41.6216680555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","5",-70.4850911111111,41.6216680555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","5",-70.4850911111111,41.6216680555556,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","6",-70.4847702777778,41.6063127777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","6",-70.4847702777778,41.6063127777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","6",-70.4847702777778,41.6063127777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","6",-70.4847702777778,41.6063127777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","7",-70.4882636111111,41.5905683333333,1,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","7",-70.4882636111111,41.5905683333333,1,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","7",-70.4882636111111,41.5905683333333,1,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","7",-70.4882636111111,41.5905683333333,1,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","8",-70.5078383333333,41.592435,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","8",-70.5078383333333,41.592435,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","8",-70.5078383333333,41.592435,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","8",-70.5078383333333,41.592435,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","9",-70.4830297222222,41.5737927777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","9",-70.4830297222222,41.5737927777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","9",-70.4830297222222,41.5737927777778,0,"Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
